
N,P,K,temperature,humidity,ph,rainfall,label,label_encoded,N_scaled,P_scaled,K_scaled,temp_scaled,humidity_scaled,ph_scaled,rainfall_scaled
90,42,43.0,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,20,1.0687973987858208,-0.34192162070311927,0.19712805092214644,-0.9939358180834473,0.4727684327926978,0.05311531559428843,1.9734301929417424
85,58,41.0,21.77046169,80.31964408,7.038096361,213.84124050000003,rice,20,0.9333288740624319,0.1673079561426518,0.11185834741669579,-0.8059304796981129,0.39705366127187053,0.7860212174346334,2.186623299727462
60,55,44.0,23.00445915,82.3207629,7.840207144,213.84124050000003,rice,20,0.25598625044548734,0.07182741048406972,0.23976290267487177,-0.5454685655533663,0.4870745992667531,1.8846187999684398,2.186623299727462
74,35,40.0,26.49109635,80.15836264,6.980400905,213.84124050000003,rice,20,0.6352981196709763,-0.564709560573144,0.06922349566397046,0.1904617977395061,0.3897983667012238,0.7069996036773403,2.186623299727462
78,42,42.0,20.13017482,81.60487287,7.628472891,213.84124050000003,rice,20,0.7436729394496874,-0.34192162070311927,0.1544931991694211,-1.1521485812383676,0.45487006880224745,1.5946205311315518,2.186623299727462
69,37,42.0,23.05804872,83.37011772,7.073453503,213.84124050000003,rice,20,0.4998295949475874,-0.5010558634674227,0.1544931991694211,-0.5341573251068958,0.5342801446055603,0.8344475340354713,2.186623299727462
69,55,38.0,22.70883798,82.63941394,5.70080568,213.84124050000003,rice,20,0.4998295949475874,0.07182741048406972,-0.016046207841480208,-0.6078658218653119,0.5014092130973522,-1.0455765374251067,2.186623299727462
94,53,40.0,20.27774362,82.89408619,5.718627177999999,213.84124050000003,rice,20,1.177172218564532,0.008173713378348341,0.06922349566397046,-1.121000987047985,0.5128657216250502,-1.021167621556025,2.186623299727462
89,54,38.0,24.51588066,83.53521629999999,6.685346424,213.84124050000003,rice,20,1.041703693841143,0.04000056193120903,-0.016046207841480208,-0.22645029174416043,0.5417071543786343,0.3028831818409226,2.186623299727462
68,58,38.0,23.22397386,83.03322691,6.336253525,213.84124050000003,rice,20,0.4727358900029096,0.1673079561426518,-0.016046207841480208,-0.4991352274365037,0.5191250091808403,-0.17524605298463372,2.186623299727462
91,53,40.0,26.52723513,81.41753846,5.386167788,213.84124050000003,rice,20,1.0958911037304986,0.008173713378348341,0.06922349566397046,0.19808967066369865,0.44644277346207517,-1.4765150497237667,2.186623299727462
90,46,42.0,23.97898217,81.45061596,7.50283396,213.84124050000003,rice,20,1.0687973987858208,-0.2146142264916765,0.1544931991694211,-0.33977435677653495,0.4479307748474826,1.42254127625295,2.186623299727462
78,58,44.0,26.80079604,80.88684822,5.108681786,213.84124050000003,rice,20,0.7436729394496874,0.1673079561426518,0.23976290267487177,0.25583063088721403,0.4225695118086122,-1.8565690989213213,2.186623299727462
93,56,36.0,24.01497622,82.05687182,6.98435366,185.2773389,rice,20,1.1500785136198541,0.10365425903693042,-0.10131591134693087,-0.33217703225625395,0.475203378871113,0.712413428275368,1.6282341524969088
94,50,37.0,25.66585205,80.66385045,6.94801983,209.5869708,rice,20,1.177172218564532,-0.08730683228023373,-0.05868105959420554,0.016276098836170122,0.4125378893854281,0.6626494073343921,2.1034575591665927
60,48,39.0,24.28209415,80.30025587,7.042299068999999,213.84124050000003,rice,20,0.25598625044548734,-0.1509605293859551,0.026588643911245123,-0.2757960026306484,0.39618147675548987,0.7917773859673967,2.186623299727462
85,38,41.0,21.58711777,82.7883708,6.2490506560000005,213.84124050000003,rice,20,0.9333288740624319,-0.469229014914562,0.11185834741669579,-0.8446291884863807,0.5081100826928778,-0.29468200011790113,2.186623299727462
91,35,39.0,23.79391957,80.41817957,6.970859754,206.2611855,rice,20,1.0958911037304986,-0.564709560573144,0.026588643911245123,-0.37883583023581036,0.40148631022151443,0.6939317262153444,2.038442546737797
77,38,36.0,21.8652524,80.1923008,5.953933276,213.84124050000003,rice,20,0.7165792345050096,-0.469229014914562,-0.10131591134693087,-0.7859228455091908,0.39132508513817277,-0.6988845705148529,2.186623299727462
88,35,40.0,23.57943626,83.58760316,5.85393208,213.84124050000003,rice,20,1.0146099888964653,-0.564709560573144,0.06922349566397046,-0.42410718231355354,0.5440637931892212,-0.8358495315956583,2.186623299727462
